Date,Type,Category,Amount,Comment
2018-05-13,Расход,Перевод,18131.47,Перевод другу
2018-05-14,Расход,Продукты,3807.68,Дикси
2018-05-14,Расход,Здоровье,6097.56,Аптека
2018-05-14,Расход,Прочее,6394.86,Зоотовары
2018-05-14,Расход,Перевод,9879.95,Перевод родителям
2018-05-15,Расход,Досуг,2701.67,Spotify
2018-05-15,Расход,Наличка,4297.36,Снятие наличных
2018-05-15,Расход,Продукты,4352.31,Рынок
2018-05-15,Расход,Прочее,8769.67,Зоотовары
2018-05-15,Расход,Развлечения,972.52,Кино
2018-05-16,Расход,Прочее,7664.08,Канцелярия
2018-05-16,Расход,Наличка,8025.24,Снятие наличных
2018-05-17,Доход,Наличка,20123.31,Продажа вещей на Авито
2018-05-18,Расход,Наличка,10144.68,Размен
2018-05-18,Доход,Перевод,22549.83,Возврат долга
2018-05-19,Расход,Прочее,3621.66,Канцелярия
2018-05-19,Расход,Наличка,9390.43,Снятие наличных
2018-05-19,Расход,Развлечения,3653.54,Ресторан
2018-05-19,Расход,Продукты,3843.07,Магнит
2018-05-19,Расход,Продукты,1235.4,Лента
2018-05-20,Расход,Наличка,3687.81,ATM
2018-05-20,Расход,Здоровье,5507.86,Анализы
2018-05-20,Расход,Прочее,3558.02,Цветы
2018-05-20,Расход,Досуг,931.5,Авито
2018-05-20,Расход,Развлечения,4218.85,Концерт
2018-05-20,Расход,Продукты,3588.39,Лента
2018-05-20,Доход,Зарплата,45350.67,13-я зарплата
2018-05-20,Доход,Перевод,11340.41,Подработка
2018-05-21,Расход,Развлечения,4528.16,Театр
2018-05-21,Расход,Развлечения,1917.17,Пицца
2018-05-21,Расход,Прочее,8576.75,Канцелярия
2018-05-22,Расход,Наличка,6690.0,Снятие наличных
2018-05-22,Расход,Досуг,994.5,YouTube Premium
2018-05-23,Расход,Досуг,661.22,Игры
2018-05-23,Расход,Жилье,13833.64,Ремонт
2018-05-24,Расход,Транспорт,2346.7,Автобус
2018-05-24,Расход,Продукты,2348.0,ВкусВилл
2018-05-24,Расход,Жилье,15362.12,Управляющая компания
2018-05-24,Расход,Развлечения,3654.22,Концерт
2018-05-25,Расход,Транспорт,158.19,Такси
2018-05-26,Расход,Развлечения,1305.97,Доставка еды
2018-05-26,Расход,Развлечения,5483.12,Бар
2018-05-26,Расход,Транспорт,283.73,Метро
2018-05-26,Расход,Наличка,1043.25,ATM
2018-05-26,Расход,Развлечения,676.47,Кино
2018-05-26,Расход,Досуг,2288.75,Книги
2018-05-27,Расход,Досуг,2522.12,Spotify
2018-05-27,Расход,Продукты,1947.55,Бристоль
2018-05-27,Расход,Наличка,11297.17,Снятие наличных
2018-05-27,Расход,Досуг,443.02,YouTube Premium
2018-05-27,Расход,Перевод,8563.12,Благотворительность
2018-05-27,Расход,Перевод,16979.45,Перевод другу
2018-05-28,Расход,Досуг,412.83,Netflix
2018-05-30,Доход,Перевод,22378.98,Возврат долга
2018-05-31,Расход,Продукты,1923.65,Лента
2018-06-01,Расход,Транспорт,1726.62,Самокат
2018-06-01,Расход,Развлечения,5783.9,Концерт
2018-06-02,Расход,Перевод,16978.77,Благотворительность
2018-06-02,Расход,Жилье,16992.2,Коммунальные услуги
2018-06-03,Расход,Досуг,764.54,Coursera
2018-06-03,Расход,Развлечения,4773.78,Пицца
2018-06-03,Расход,Развлечения,2601.22,Бар
2018-06-04,Расход,Продукты,1934.75,Дикси
2018-06-05,Расход,Транспорт,2780.81,Бензин
2018-06-05,Расход,Перевод,11769.05,Долг
2018-06-05,Доход,Зарплата,63243.43,13-я зарплата
2018-06-06,Расход,Здоровье,6076.69,Аптека
2018-06-07,Расход,Транспорт,2091.2,Каршеринг
2018-06-08,Расход,Продукты,4819.45,Рынок
2018-06-09,Расход,Досуг,1737.77,Игры
2018-06-09,Расход,Досуг,2704.91,Игры
2018-06-09,Расход,Наличка,4905.37,Размен
2018-06-09,Расход,Здоровье,2239.53,Массаж
2018-06-09,Расход,Развлечения,3163.28,Доставка еды
2018-06-10,Расход,Жилье,22974.54,Электричество
2018-06-10,Расход,Досуг,2033.22,Coursera
2018-06-12,Расход,Перевод,19365.12,Перевод другу
2018-06-12,Расход,Транспорт,2102.91,Такси
2018-06-12,Расход,Транспорт,2934.8,Электричка
2018-06-13,Расход,Продукты,2132.06,Пятёрочка
2018-06-13,Расход,Жилье,30669.02,Коммунальные услуги
2018-06-14,Расход,Транспорт,62.59,Парковка
2018-06-14,Расход,Наличка,6283.42,ATM
2018-06-15,Расход,Транспорт,2737.87,Каршеринг
2018-06-15,Расход,Прочее,9522.08,Непредвиденные расходы
2018-06-15,Расход,Продукты,1552.89,Ашан
2018-06-16,Расход,Развлечения,761.49,Боулинг
2018-06-16,Расход,Досуг,523.12,Steam
2018-06-16,Расход,Наличка,13495.44,Размен
2018-06-16,Расход,Прочее,1401.12,Зоотовары
2018-06-17,Расход,Продукты,218.89,Метро
2018-06-17,Расход,Транспорт,1500.84,Бензин
2018-06-18,Расход,Продукты,4322.92,Перекрёсток
2018-06-18,Расход,Развлечения,1613.49,Пицца
2018-06-18,Расход,Досуг,1969.31,Хобби
2018-06-18,Расход,Продукты,3394.97,Дикси
2018-06-19,Расход,Продукты,2778.09,Перекрёсток
2018-06-20,Расход,Жилье,32940.38,Газ
2018-06-20,Расход,Прочее,439.36,Зоотовары
2018-06-20,Расход,Досуг,1728.35,Хобби
2018-06-20,Расход,Наличка,6244.13,Размен
2018-06-20,Расход,Прочее,3183.61,Подарок
2018-06-20,Расход,Жилье,11013.4,Газ
2018-06-20,Доход,Зарплата,51225.06,Аванс
2018-06-21,Расход,Досуг,1832.91,Игры
2018-06-21,Расход,Транспорт,2914.61,Яндекс.Такси
2018-06-21,Расход,Транспорт,470.31,Uber
2018-06-21,Расход,Перевод,16548.85,Перевод родителям
2018-06-22,Расход,Здоровье,7516.37,Очки
2018-06-22,Расход,Наличка,8961.76,Размен
2018-06-22,Доход,Наличка,14200.32,Продажа вещей на Авито
2018-06-23,Расход,Жилье,7556.63,Коммунальные услуги
2018-06-23,Расход,Развлечения,3762.32,Ресторан
2018-06-23,Расход,Жилье,11396.79,Аренда квартиры
2018-06-24,Расход,Развлечения,2790.25,Боулинг
2018-06-24,Расход,Развлечения,4162.76,Ресторан
2018-06-24,Расход,Транспорт,1999.42,Каршеринг
2018-06-24,Расход,Досуг,580.95,Книги
2018-06-25,Расход,Прочее,3746.74,Техника
2018-06-25,Расход,Продукты,298.11,Ашан
2018-06-26,Расход,Жилье,19578.77,Интернет
2018-06-26,Расход,Прочее,5532.72,Одежда
2018-06-26,Расход,Наличка,7921.52,Снятие наличных
2018-06-26,Расход,Продукты,4457.23,Бристоль
2018-06-26,Расход,Жилье,7130.34,Газ
2018-06-26,Доход,Наличка,23768.47,Сдача
2018-06-27,Расход,Жилье,3750.63,Коммунальные услуги
2018-06-28,Расход,Продукты,1856.7,Ашан
2018-06-28,Расход,Здоровье,1609.39,Анализы
2018-06-28,Расход,Здоровье,6344.3,Линзы
2018-06-28,Расход,Жилье,25074.53,Интернет
2018-06-28,Расход,Продукты,2138.06,Дикси
2018-06-29,Расход,Транспорт,2818.89,Каршеринг
2018-06-29,Расход,Транспорт,1337.01,Электричка
2018-06-29,Расход,Продукты,609.53,Дикси
2018-06-30,Расход,Продукты,579.47,Магнит
2018-06-30,Расход,Перевод,18628.62,Благотворительность
2018-06-30,Расход,Транспорт,2649.56,Парковка
2018-06-30,Расход,Досуг,2430.15,Хобби
2018-07-01,Расход,Транспорт,2077.41,Бензин
2018-07-01,Расход,Досуг,1573.3,Игры
2018-07-01,Расход,Наличка,6104.98,Размен
2018-07-01,Расход,Развлечения,1092.41,Кафе
2018-07-02,Расход,Перевод,18813.86,Алименты
2018-07-02,Расход,Наличка,2537.73,Размен
2018-07-03,Расход,Наличка,14517.2,Размен
2018-07-04,Расход,Продукты,3313.03,Перекрёсток
2018-07-04,Расход,Транспорт,2689.02,Яндекс.Такси
2018-07-04,Расход,Продукты,3266.58,Перекрёсток
2018-07-04,Расход,Жилье,33216.39,Газ
2018-07-05,Расход,Продукты,447.16,Лента
2018-07-05,Расход,Развлечения,5214.23,Кино
2018-07-05,Доход,Зарплата,46482.27,Годовая премия
2018-07-06,Расход,Продукты,244.7,Рынок
2018-07-06,Расход,Развлечения,3883.31,Доставка еды
2018-07-07,Расход,Досуг,2786.45,Spotify
2018-07-07,Расход,Развлечения,781.2,Доставка еды
